year,less_than_hs,high_school,some_college,bachelors_degree,advanced_degree
2022,16.52,21.94,24.81,41.6,53.22
2021,16.74,22.28,24.92,41.32,53.45
2020,17.02,22.7,25.44,41.65,53.74
2019,16.11,21.64,24,39.61,51.57
2018,15.94,21.5,23.7,38.87,51.03
2017,15.92,21.26,23.31,38.65,49.4
2016,15.45,21,23.35,38.73,49.64
2015,15.25,20.81,23.17,37.96,48.42
2014,14.66,20.34,22.48,36.47,47.27
2013,14.62,20.31,22.5,37,48.54
2012,14.8,20.5,22.56,36.76,48.47
2011,14.96,20.67,22.9,36.44,47.56
2010,15.04,21.06,23.56,37.42,48.8
2009,15.41,21.42,23.82,37.3,49.12
2008,15.08,20.93,23.52,37.04,47.55
2007,15.19,21.04,23.84,37.23,47.31
2006,14.9,21.17,23.69,36.99,47.23
2005,14.96,21.07,23.76,36.89,47.09
2004,15.13,21.33,24.11,36.78,47.48
2003,15.27,21.5,24.19,37.14,46.79
2002,15.18,21.39,24.25,37.26,47.36
2001,14.88,21.1,24.05,37.07,46.23
2000,14.67,20.8,23.68,36.44,45.99
1999,14.61,20.67,23.36,35.76,46.02
1998,14.57,20.39,23.02,34.97,44.49
1997,14.07,19.95,22.54,33.44,43.68
1996,13.95,19.62,22.11,32.5,43.35
1995,13.95,19.68,22.04,32.86,43.27
1994,14.33,19.88,22.26,32.72,43.46
1993,14.6,19.65,22.27,32.16,41.45
1992,14.87,19.65,22.26,32.16,40.94
1991,14.99,19.77,22.49,31.87,40.71
1990,15.05,19.74,22.58,32.21,39.95
1989,15.46,20.07,22.61,31.89,39.8
1988,15.79,20.66,23.03,33.41,41.12
1987,15.76,20.6,23.17,33.19,40.55
1986,16.1,20.61,23.12,32.67,39.88
1985,16.08,20.4,22.6,31.5,38.31
1984,16.21,20.3,22.37,31.07,37.45
1983,16.43,20.43,22.28,30.73,36.78
1982,16.73,20.65,22.43,30.55,36.08
1981,17.07,20.68,22.47,30.17,35.32
1980,17.42,20.9,22.73,30.04,35.53
1979,17.95,21.62,23.2,30.57,36.19
1978,17.29,21.52,23.25,30.9,37.56
1977,17.59,21.5,22.97,31.07,37.36
1976,17.52,21.76,23.49,31.46,37.5
1975,17.3,21.55,23.3,31.45,38.41
1974,17.68,21.6,23.32,31.69,38.37
1973,18.06,22.22,24.08,32.8,38.16
